# (t) 	 (c tau) 	 (p(zD,t))
D =  0.177777777778
0 	 -0.04 	 0
6.66667e-09 	 -0.039 	 0
1.33333e-08 	 -0.038 	 0
2e-08 	 -0.037 	 0
2.66667e-08 	 -0.036 	 0
3.33333e-08 	 -0.035 	 0
4e-08 	 -0.034 	 0
4.66667e-08 	 -0.033 	 0
5.33333e-08 	 -0.032 	 0
6e-08 	 -0.031 	 0
6.66667e-08 	 -0.03 	 0
7.33333e-08 	 -0.029 	 0
8e-08 	 -0.028 	 0
8.66667e-08 	 -0.027 	 0
9.33333e-08 	 -0.026 	 0
1e-07 	 -0.025 	 0
1.06667e-07 	 -0.024 	 0
1.13333e-07 	 -0.023 	 0
1.2e-07 	 -0.022 	 0
1.26667e-07 	 -0.021 	 0
1.33333e-07 	 -0.02 	 0
1.4e-07 	 -0.019 	 0
1.46667e-07 	 -0.018 	 0
1.53333e-07 	 -0.017 	 0
1.6e-07 	 -0.016 	 0
1.66667e-07 	 -0.015 	 0
1.73333e-07 	 -0.014 	 0
1.8e-07 	 -0.013 	 0
1.86667e-07 	 -0.012 	 0
1.93333e-07 	 -0.011 	 0
2e-07 	 -0.01 	 0
2.06667e-07 	 -0.009 	 0
2.13333e-07 	 -0.008 	 0
2.2e-07 	 -0.007 	 0
2.26667e-07 	 -0.006 	 0
2.33333e-07 	 -0.005 	 0
2.4e-07 	 -0.004 	 0
2.46667e-07 	 -0.003 	 0.0153124
2.53333e-07 	 -0.002 	 0.0460215
2.6e-07 	 -0.001 	 0.0759074
2.66667e-07 	 0 	 0.104966
2.73333e-07 	 0.001 	 0.118455
2.8e-07 	 0.002 	 0.116057
2.86667e-07 	 0.003 	 0.113389
2.93333e-07 	 0.004 	 0.111365
3e-07 	 0.005 	 0.109318
3.06667e-07 	 0.006 	 0.106386
3.13333e-07 	 0.007 	 0.104934
3.2e-07 	 0.008 	 0.103441
3.26667e-07 	 0.009 	 0.100486
3.33333e-07 	 0.01 	 0.0989407
3.4e-07 	 0.011 	 0.0979972
3.46667e-07 	 0.012 	 0.0943712
3.53333e-07 	 0.013 	 0.0930307
3.6e-07 	 0.014 	 0.0930957
3.66667e-07 	 0.015 	 0.0894591
3.73333e-07 	 0.016 	 0.0872114
3.8e-07 	 0.017 	 0.0853323
3.86667e-07 	 0.018 	 0.08413
3.93333e-07 	 0.019 	 0.0819441
4e-07 	 0.02 	 0.0813134
4.06667e-07 	 0.021 	 0.0795263
4.13333e-07 	 0.022 	 0.0750677
4.2e-07 	 0.023 	 0.0764201
4.26667e-07 	 0.024 	 0.0753163
4.33333e-07 	 0.025 	 0.0754574
4.4e-07 	 0.026 	 0.0744686
4.46667e-07 	 0.027 	 0.0688105
