# (t) 	 (c tau) 	 (p(zD,t))
D =  0.355555555556
0 	 -0.04 	 0
6.66667e-09 	 -0.039 	 0
1.33333e-08 	 -0.038 	 0
2e-08 	 -0.037 	 0
2.66667e-08 	 -0.036 	 0
3.33333e-08 	 -0.035 	 0
4e-08 	 -0.034 	 0
4.66667e-08 	 -0.033 	 0
5.33333e-08 	 -0.032 	 0
6e-08 	 -0.031 	 0
6.66667e-08 	 -0.03 	 0
7.33333e-08 	 -0.029 	 0
8e-08 	 -0.028 	 0
8.66667e-08 	 -0.027 	 0
9.33333e-08 	 -0.026 	 0
1e-07 	 -0.025 	 0
1.06667e-07 	 -0.024 	 0
1.13333e-07 	 -0.023 	 0
1.2e-07 	 -0.022 	 0
1.26667e-07 	 -0.021 	 0
1.33333e-07 	 -0.02 	 0
1.4e-07 	 -0.019 	 0
1.46667e-07 	 -0.018 	 0
1.53333e-07 	 -0.017 	 0
1.6e-07 	 -0.016 	 0
1.66667e-07 	 -0.015 	 0
1.73333e-07 	 -0.014 	 0
1.8e-07 	 -0.013 	 0
1.86667e-07 	 -0.012 	 0
1.93333e-07 	 -0.011 	 0
2e-07 	 -0.01 	 0
2.06667e-07 	 -0.009 	 0
2.13333e-07 	 -0.008 	 0
2.2e-07 	 -0.007 	 0
2.26667e-07 	 -0.006 	 0
2.33333e-07 	 -0.005 	 0
2.4e-07 	 -0.004 	 0
2.46667e-07 	 -0.003 	 0.00773316
2.53333e-07 	 -0.002 	 0.0233188
2.6e-07 	 -0.001 	 0.0386398
2.66667e-07 	 0 	 0.053689
2.73333e-07 	 0.001 	 0.0610167
2.8e-07 	 0.002 	 0.0603819
2.86667e-07 	 0.003 	 0.0595926
2.93333e-07 	 0.004 	 0.0591156
3e-07 	 0.005 	 0.0586042
3.06667e-07 	 0.006 	 0.0576241
3.13333e-07 	 0.007 	 0.0573949
3.2e-07 	 0.008 	 0.0571228
3.26667e-07 	 0.009 	 0.0560839
3.33333e-07 	 0.01 	 0.0557597
3.4e-07 	 0.011 	 0.0557468
3.46667e-07 	 0.012 	 0.0543094
3.53333e-07 	 0.013 	 0.0540357
3.6e-07 	 0.014 	 0.0544955
3.66667e-07 	 0.015 	 0.0530247
3.73333e-07 	 0.016 	 0.0522327
3.8e-07 	 0.017 	 0.0515783
3.86667e-07 	 0.018 	 0.0514019
3.93333e-07 	 0.019 	 0.0505939
4e-07 	 0.02 	 0.0506037
4.06667e-07 	 0.021 	 0.0500303
4.13333e-07 	 0.022 	 0.0479138
4.2e-07 	 0.023 	 0.0490492
4.26667e-07 	 0.024 	 0.0488077
4.33333e-07 	 0.025 	 0.0491946
4.4e-07 	 0.026 	 0.0489905
4.46667e-07 	 0.027 	 0.0460753
