# (t) 	 (c tau) 	 (p(rD,t))
0 	 -0.2 	 0
6.66667e-09 	 -0.199 	 0
1.33333e-08 	 -0.198 	 0
2e-08 	 -0.197 	 0
2.66667e-08 	 -0.196 	 0
3.33333e-08 	 -0.195 	 0
4e-08 	 -0.194 	 0
4.66667e-08 	 -0.193 	 0
5.33333e-08 	 -0.192 	 0
6e-08 	 -0.191 	 0
6.66667e-08 	 -0.19 	 0
7.33333e-08 	 -0.189 	 0
8e-08 	 -0.188 	 0
8.66667e-08 	 -0.187 	 0
9.33333e-08 	 -0.186 	 0
1e-07 	 -0.185 	 0
1.06667e-07 	 -0.184 	 0
1.13333e-07 	 -0.183 	 0
1.2e-07 	 -0.182 	 0
1.26667e-07 	 -0.181 	 0
1.33333e-07 	 -0.18 	 0
1.4e-07 	 -0.179 	 0
1.46667e-07 	 -0.178 	 0
1.53333e-07 	 -0.177 	 0
1.6e-07 	 -0.176 	 0
1.66667e-07 	 -0.175 	 0
1.73333e-07 	 -0.174 	 0
1.8e-07 	 -0.173 	 0
1.86667e-07 	 -0.172 	 0
1.93333e-07 	 -0.171 	 0
2e-07 	 -0.17 	 0
2.06667e-07 	 -0.169 	 0
2.13333e-07 	 -0.168 	 0
2.2e-07 	 -0.167 	 0
2.26667e-07 	 -0.166 	 0
2.33333e-07 	 -0.165 	 0
2.4e-07 	 -0.164 	 0
2.46667e-07 	 -0.163 	 0
2.53333e-07 	 -0.162 	 0
2.6e-07 	 -0.161 	 0
2.66667e-07 	 -0.16 	 0
2.73333e-07 	 -0.159 	 0
2.8e-07 	 -0.158 	 0
2.86667e-07 	 -0.157 	 0
2.93333e-07 	 -0.156 	 0
3e-07 	 -0.155 	 0
3.06667e-07 	 -0.154 	 0
3.13333e-07 	 -0.153 	 0
3.2e-07 	 -0.152 	 0
3.26667e-07 	 -0.151 	 0
3.33333e-07 	 -0.15 	 0
3.4e-07 	 -0.149 	 0
3.46667e-07 	 -0.148 	 0
3.53333e-07 	 -0.147 	 0
3.6e-07 	 -0.146 	 0
3.66667e-07 	 -0.145 	 0
3.73333e-07 	 -0.144 	 0
3.8e-07 	 -0.143 	 0
3.86667e-07 	 -0.142 	 0
3.93333e-07 	 -0.141 	 0
4e-07 	 -0.14 	 0
4.06667e-07 	 -0.139 	 0
4.13333e-07 	 -0.138 	 0
4.2e-07 	 -0.137 	 0
4.26667e-07 	 -0.136 	 0
4.33333e-07 	 -0.135 	 0
4.4e-07 	 -0.134 	 0
4.46667e-07 	 -0.133 	 0
4.53333e-07 	 -0.132 	 0
4.6e-07 	 -0.131 	 0
4.66667e-07 	 -0.13 	 0
4.73333e-07 	 -0.129 	 0
4.8e-07 	 -0.128 	 0
4.86667e-07 	 -0.127 	 0
4.93333e-07 	 -0.126 	 0
5e-07 	 -0.125 	 0
5.06667e-07 	 -0.124 	 0
5.13333e-07 	 -0.123 	 0
5.2e-07 	 -0.122 	 0
5.26667e-07 	 -0.121 	 0
5.33333e-07 	 -0.12 	 0
5.4e-07 	 -0.119 	 0
5.46667e-07 	 -0.118 	 0
5.53333e-07 	 -0.117 	 0
5.6e-07 	 -0.116 	 0
5.66667e-07 	 -0.115 	 0
5.73333e-07 	 -0.114 	 0
5.8e-07 	 -0.113 	 0
5.86667e-07 	 -0.112 	 0
5.93333e-07 	 -0.111 	 0
6e-07 	 -0.11 	 0
6.06667e-07 	 -0.109 	 0
6.13333e-07 	 -0.108 	 0
6.2e-07 	 -0.107 	 0
6.26667e-07 	 -0.106 	 0
6.33333e-07 	 -0.105 	 0
6.4e-07 	 -0.104 	 0
6.46667e-07 	 -0.103 	 0
6.53333e-07 	 -0.102 	 0
6.6e-07 	 -0.101 	 0
6.66667e-07 	 -0.1 	 0
6.73333e-07 	 -0.099 	 0
6.8e-07 	 -0.098 	 0
6.86667e-07 	 -0.097 	 0
6.93333e-07 	 -0.096 	 0
7e-07 	 -0.095 	 0
7.06667e-07 	 -0.094 	 0
7.13333e-07 	 -0.093 	 0
7.2e-07 	 -0.092 	 0
7.26667e-07 	 -0.091 	 0
7.33333e-07 	 -0.09 	 0
7.4e-07 	 -0.089 	 0
7.46667e-07 	 -0.088 	 0
7.53333e-07 	 -0.087 	 0
7.6e-07 	 -0.086 	 0
7.66667e-07 	 -0.085 	 0
7.73333e-07 	 -0.084 	 0
7.8e-07 	 -0.083 	 0
7.86667e-07 	 -0.082 	 0
7.93333e-07 	 -0.081 	 0
8e-07 	 -0.08 	 0
8.06667e-07 	 -0.079 	 0
8.13333e-07 	 -0.078 	 0
8.2e-07 	 -0.077 	 0
8.26667e-07 	 -0.076 	 0
8.33333e-07 	 -0.075 	 0
8.4e-07 	 -0.074 	 0
8.46667e-07 	 -0.073 	 0
8.53333e-07 	 -0.072 	 0
8.6e-07 	 -0.071 	 0
8.66667e-07 	 -0.07 	 0
8.73333e-07 	 -0.069 	 0
8.8e-07 	 -0.068 	 0
8.86667e-07 	 -0.067 	 0
8.93333e-07 	 -0.066 	 0
9e-07 	 -0.065 	 0
9.06667e-07 	 -0.064 	 0
9.13333e-07 	 -0.063 	 0
9.2e-07 	 -0.062 	 0
9.26667e-07 	 -0.061 	 0
9.33333e-07 	 -0.06 	 0
9.4e-07 	 -0.059 	 0
9.46667e-07 	 -0.058 	 0
9.53333e-07 	 -0.057 	 0
9.6e-07 	 -0.056 	 0
9.66667e-07 	 -0.055 	 0
9.73333e-07 	 -0.054 	 0
9.8e-07 	 -0.053 	 0
9.86667e-07 	 -0.052 	 0
9.93333e-07 	 -0.051 	 0
1e-06 	 -0.05 	 0
1.00667e-06 	 -0.049 	 0
1.01333e-06 	 -0.048 	 0
1.02e-06 	 -0.047 	 0
1.02667e-06 	 -0.046 	 0
1.03333e-06 	 -0.045 	 0
1.04e-06 	 -0.044 	 0
1.04667e-06 	 -0.043 	 0
1.05333e-06 	 -0.042 	 0
1.06e-06 	 -0.041 	 0
1.06667e-06 	 -0.04 	 0
1.07333e-06 	 -0.039 	 0
1.08e-06 	 -0.038 	 0
1.08667e-06 	 -0.037 	 0
1.09333e-06 	 -0.036 	 0
1.1e-06 	 -0.035 	 0
1.10667e-06 	 -0.034 	 0
1.11333e-06 	 -0.033 	 0
1.12e-06 	 -0.032 	 0
1.12667e-06 	 -0.031 	 0
1.13333e-06 	 -0.03 	 0
1.14e-06 	 -0.029 	 0
1.14667e-06 	 -0.028 	 0
1.15333e-06 	 -0.027 	 0
1.16e-06 	 -0.026 	 0
1.16667e-06 	 -0.025 	 0
1.17333e-06 	 -0.024 	 0
1.18e-06 	 -0.023 	 0
1.18667e-06 	 -0.022 	 0
1.19333e-06 	 -0.021 	 0
1.2e-06 	 -0.02 	 0
1.20667e-06 	 -0.019 	 0
1.21333e-06 	 -0.018 	 0
1.22e-06 	 -0.017 	 0
1.22667e-06 	 -0.016 	 0
1.23333e-06 	 -0.015 	 0
1.24e-06 	 -0.014 	 0
1.24667e-06 	 -0.013 	 0
1.25333e-06 	 -0.012 	 0
1.26e-06 	 -0.011 	 0
1.26667e-06 	 -0.01 	 0
1.27333e-06 	 -0.009 	 0
1.28e-06 	 -0.008 	 0
1.28667e-06 	 -0.007 	 0
1.29333e-06 	 -0.006 	 0
1.3e-06 	 -0.005 	 0
1.30667e-06 	 -0.004 	 0
1.31333e-06 	 -0.003 	 0.00777583
1.32e-06 	 -0.002 	 0.0232722
1.32667e-06 	 -0.001 	 0.0385761
1.33333e-06 	 0 	 0.0536812
1.34e-06 	 0.001 	 0.0608825
1.34667e-06 	 0.002 	 0.0603963
1.35333e-06 	 0.003 	 0.0598603
1.36e-06 	 0.004 	 0.0591333
1.36667e-06 	 0.005 	 0.058601
1.37333e-06 	 0.006 	 0.0580988
1.38e-06 	 0.007 	 0.057324
1.38667e-06 	 0.008 	 0.0569348
1.39333e-06 	 0.009 	 0.0564262
1.4e-06 	 0.01 	 0.0557361
1.40667e-06 	 0.011 	 0.0552356
1.41333e-06 	 0.012 	 0.0544986
1.42e-06 	 0.013 	 0.0539766
1.42667e-06 	 0.014 	 0.0532986
1.43333e-06 	 0.015 	 0.0528543
1.44e-06 	 0.016 	 0.0527548
1.44667e-06 	 0.017 	 0.0520957
1.45333e-06 	 0.018 	 0.0516484
1.46e-06 	 0.019 	 0.0510566
1.46667e-06 	 0.02 	 0.0498628
1.47333e-06 	 0.021 	 0.0496896
1.48e-06 	 0.022 	 0.049636
1.48667e-06 	 0.023 	 0.0490252
1.49333e-06 	 0.024 	 0.0488817
1.5e-06 	 0.025 	 0.0478055
1.50667e-06 	 0.026 	 0.0470924
1.51333e-06 	 0.027 	 0.0471568
1.52e-06 	 0.028 	 0.0469753
1.52667e-06 	 0.029 	 0.0461436
1.53333e-06 	 0.03 	 0.0455082
1.54e-06 	 0.031 	 0.0452225
1.54667e-06 	 0.032 	 0.0440977
1.55333e-06 	 0.033 	 0.0447246
1.56e-06 	 0.034 	 0.0440554
1.56667e-06 	 0.035 	 0.0428782
1.57333e-06 	 0.036 	 0.0428814
1.58e-06 	 0.037 	 0.0418038
1.58667e-06 	 0.038 	 0.0424337
1.59333e-06 	 0.039 	 0.0426855
1.6e-06 	 0.04 	 0.0415216
1.60667e-06 	 0.041 	 0.0413639
1.61333e-06 	 0.042 	 0.0398843
1.62e-06 	 0.043 	 0.0396083
1.62667e-06 	 0.044 	 0.0403652
1.63333e-06 	 0.045 	 0.039122
1.64e-06 	 0.046 	 0.0379025
1.64667e-06 	 0.047 	 0.0426546
1.65333e-06 	 0.048 	 0.051417
1.66e-06 	 0.049 	 0.0597275
1.66667e-06 	 0.05 	 0.0694849
1.67333e-06 	 0.051 	 0.0712502
1.68e-06 	 0.052 	 0.0685533
1.68667e-06 	 0.053 	 0.0665969
1.69333e-06 	 0.054 	 0.0621692
1.7e-06 	 0.055 	 0.0601603
1.70667e-06 	 0.056 	 0.0578132
1.71333e-06 	 0.057 	 0.0543423
1.72e-06 	 0.058 	 0.0515041
1.72667e-06 	 0.059 	 0.0471118
1.73333e-06 	 0.06 	 0.0434491
1.74e-06 	 0.061 	 0.0399813
1.74667e-06 	 0.062 	 0.0367319
1.75333e-06 	 0.063 	 0.0328606
1.76e-06 	 0.064 	 0.0290661
1.76667e-06 	 0.065 	 0.0261227
1.77333e-06 	 0.066 	 0.0225092
1.78e-06 	 0.067 	 0.0198352
1.78667e-06 	 0.068 	 0.0163603
1.79333e-06 	 0.069 	 0.0123325
1.8e-06 	 0.07 	 0.0089147
1.80667e-06 	 0.071 	 0.00661965
1.81333e-06 	 0.072 	 0.00291732
1.82e-06 	 0.073 	 0.000358961
1.82667e-06 	 0.074 	 -0.000929295
1.83333e-06 	 0.075 	 -0.00432428
1.84e-06 	 0.076 	 -0.00633156
1.84667e-06 	 0.077 	 -0.00804049
1.85333e-06 	 0.078 	 -0.0106703
1.86e-06 	 0.079 	 -0.0125365
1.86667e-06 	 0.08 	 -0.0143254
1.87333e-06 	 0.081 	 -0.0156713
1.88e-06 	 0.082 	 -0.017059
1.88667e-06 	 0.083 	 -0.019285
1.89333e-06 	 0.084 	 -0.0198675
1.9e-06 	 0.085 	 -0.0206728
1.90667e-06 	 0.086 	 -0.0212006
1.91333e-06 	 0.087 	 -0.021732
1.92e-06 	 0.088 	 -0.0230039
1.92667e-06 	 0.089 	 -0.0236838
1.93333e-06 	 0.09 	 -0.0251872
1.94e-06 	 0.091 	 -0.0255096
1.94667e-06 	 0.092 	 -0.0254647
1.95333e-06 	 0.093 	 -0.0258718
1.96e-06 	 0.094 	 -0.0277919
1.96667e-06 	 0.095 	 -0.0292569
1.97333e-06 	 0.096 	 -0.0293512
1.98e-06 	 0.097 	 -0.0350464
1.98667e-06 	 0.098 	 -0.0425659
1.99333e-06 	 0.099 	 -0.0494322
2e-06 	 0.1 	 -0.0588412
2.00667e-06 	 0.101 	 -0.0632549
2.01333e-06 	 0.102 	 -0.0628561
2.02e-06 	 0.103 	 -0.0648526
2.02667e-06 	 0.104 	 -0.0644512
2.03333e-06 	 0.105 	 -0.0638567
2.04e-06 	 0.106 	 -0.0662412
2.04667e-06 	 0.107 	 -0.0662866
2.05333e-06 	 0.108 	 -0.0670831
2.06e-06 	 0.109 	 -0.0681337
2.06667e-06 	 0.11 	 -0.0670923
2.07333e-06 	 0.111 	 -0.0672249
2.08e-06 	 0.112 	 -0.0679801
2.08667e-06 	 0.113 	 -0.0672405
2.09333e-06 	 0.114 	 -0.067439
2.1e-06 	 0.115 	 -0.0668157
2.10667e-06 	 0.116 	 -0.0660125
2.11333e-06 	 0.117 	 -0.0663894
2.12e-06 	 0.118 	 -0.0653374
2.12667e-06 	 0.119 	 -0.0655704
2.13333e-06 	 0.12 	 -0.064692
2.14e-06 	 0.121 	 -0.0635724
2.14667e-06 	 0.122 	 -0.0625829
2.15333e-06 	 0.123 	 -0.0611469
2.16e-06 	 0.124 	 -0.0610162
2.16667e-06 	 0.125 	 -0.0599978
2.17333e-06 	 0.126 	 -0.0592371
2.18e-06 	 0.127 	 -0.0580282
2.18667e-06 	 0.128 	 -0.0565765
2.19333e-06 	 0.129 	 -0.0560537
2.2e-06 	 0.13 	 -0.0552017
2.20667e-06 	 0.131 	 -0.0536201
2.21333e-06 	 0.132 	 -0.0523451
2.22e-06 	 0.133 	 -0.0514713
2.22667e-06 	 0.134 	 -0.0499139
2.23333e-06 	 0.135 	 -0.0487457
2.24e-06 	 0.136 	 -0.0478149
2.24667e-06 	 0.137 	 -0.0458638
2.25333e-06 	 0.138 	 -0.0443121
2.26e-06 	 0.139 	 -0.0426609
2.26667e-06 	 0.14 	 -0.0402466
2.27333e-06 	 0.141 	 -0.0383033
2.28e-06 	 0.142 	 -0.0359734
2.28667e-06 	 0.143 	 -0.033958
2.29333e-06 	 0.144 	 -0.0320553
2.3e-06 	 0.145 	 -0.029566
2.30667e-06 	 0.146 	 -0.0276301
2.31333e-06 	 0.147 	 -0.0256043
2.32e-06 	 0.148 	 -0.0234225
2.32667e-06 	 0.149 	 -0.0214382
2.33333e-06 	 0.15 	 -0.0195427
2.34e-06 	 0.151 	 -0.0177274
2.34667e-06 	 0.152 	 -0.016057
2.35333e-06 	 0.153 	 -0.014553
2.36e-06 	 0.154 	 -0.0130737
2.36667e-06 	 0.155 	 -0.0116905
2.37333e-06 	 0.156 	 -0.010387
2.38e-06 	 0.157 	 -0.00921721
2.38667e-06 	 0.158 	 -0.00813411
2.39333e-06 	 0.159 	 -0.00715696
2.4e-06 	 0.16 	 -0.00632372
2.40667e-06 	 0.161 	 -0.00555641
2.41333e-06 	 0.162 	 -0.00484289
2.42e-06 	 0.163 	 -0.00417701
2.42667e-06 	 0.164 	 -0.00360212
2.43333e-06 	 0.165 	 -0.00313006
2.44e-06 	 0.166 	 -0.00269806
2.44667e-06 	 0.167 	 -0.00231642
2.45333e-06 	 0.168 	 -0.00197443
2.46e-06 	 0.169 	 -0.00167369
2.46667e-06 	 0.17 	 -0.00142422
2.47333e-06 	 0.171 	 -0.00120662
2.48e-06 	 0.172 	 -0.00102246
2.48667e-06 	 0.173 	 -0.00085655
2.49333e-06 	 0.174 	 -0.000718113
2.5e-06 	 0.175 	 -0.000601245
2.50667e-06 	 0.176 	 -0.000500848
2.51333e-06 	 0.177 	 -0.000417989
2.52e-06 	 0.178 	 -0.000345946
2.52667e-06 	 0.179 	 -0.000284524
2.53333e-06 	 0.18 	 -0.000234493
2.54e-06 	 0.181 	 -0.000193309
2.54667e-06 	 0.182 	 -0.000158296
2.55333e-06 	 0.183 	 -0.00012968
2.56e-06 	 0.184 	 -0.000105743
2.56667e-06 	 0.185 	 -8.6094e-05
2.57333e-06 	 0.186 	 -6.9576e-05
2.58e-06 	 0.187 	 -5.61231e-05
2.58667e-06 	 0.188 	 -4.52264e-05
2.59333e-06 	 0.189 	 -3.63458e-05
2.6e-06 	 0.19 	 -2.90952e-05
2.60667e-06 	 0.191 	 -2.3486e-05
2.61333e-06 	 0.192 	 -1.86864e-05
2.62e-06 	 0.193 	 -1.47672e-05
2.62667e-06 	 0.194 	 -1.17491e-05
2.63333e-06 	 0.195 	 -9.35999e-06
2.64e-06 	 0.196 	 -7.38031e-06
2.64667e-06 	 0.197 	 -5.7789e-06
2.65333e-06 	 0.198 	 -4.57456e-06
2.66e-06 	 0.199 	 -3.56306e-06
2.66667e-06 	 0.2 	 -2.79942e-06
2.67333e-06 	 0.201 	 -2.18444e-06
2.68e-06 	 0.202 	 -1.70102e-06
2.68667e-06 	 0.203 	 -1.31502e-06
2.69333e-06 	 0.204 	 -1.01534e-06
2.7e-06 	 0.205 	 -7.89861e-07
2.70667e-06 	 0.206 	 -6.09729e-07
2.71333e-06 	 0.207 	 -4.67926e-07
2.72e-06 	 0.208 	 -3.58043e-07
2.72667e-06 	 0.209 	 -2.74297e-07
2.73333e-06 	 0.21 	 -2.0894e-07
2.74e-06 	 0.211 	 -1.59264e-07
2.74667e-06 	 0.212 	 -1.21205e-07
2.75333e-06 	 0.213 	 -9.21074e-08
2.76e-06 	 0.214 	 -6.95781e-08
2.76667e-06 	 0.215 	 -5.22529e-08
2.77333e-06 	 0.216 	 -3.94019e-08
2.78e-06 	 0.217 	 -2.94055e-08
2.78667e-06 	 0.218 	 -2.1874e-08
2.79333e-06 	 0.219 	 -1.62036e-08
2.8e-06 	 0.22 	 -1.20204e-08
2.80667e-06 	 0.221 	 -8.5209e-09
2.81333e-06 	 0.222 	 -5.36537e-09
2.82e-06 	 0.223 	 -3.02506e-09
2.82667e-06 	 0.224 	 -1.23773e-09
2.83333e-06 	 0.225 	 -2.28241e-10
2.84e-06 	 0.226 	 0
2.84667e-06 	 0.227 	 0
2.85333e-06 	 0.228 	 0
2.86e-06 	 0.229 	 0
2.86667e-06 	 0.23 	 0
2.87333e-06 	 0.231 	 0
2.88e-06 	 0.232 	 0
2.88667e-06 	 0.233 	 0
2.89333e-06 	 0.234 	 0
2.9e-06 	 0.235 	 0
2.90667e-06 	 0.236 	 0
2.91333e-06 	 0.237 	 0
2.92e-06 	 0.238 	 0
2.92667e-06 	 0.239 	 0
2.93333e-06 	 0.24 	 0
2.94e-06 	 0.241 	 0
2.94667e-06 	 0.242 	 0
2.95333e-06 	 0.243 	 0
2.96e-06 	 0.244 	 0
