cyl_PIII_zD0.1.dat:# MSE  -0.1 1.96783872858e-06
cyl_PIII_zD0.2.dat:# MSE  -0.2 1.28899771529e-06
cyl_PIII_zD0.3.dat:# MSE  -0.3 9.07592680479e-07
cyl_PIII_zD0.4.dat:# MSE  -0.4 6.72028823692e-07
cyl_PIII_zD0.5.dat:# MSE  -0.5 5.17134691804e-07
cyl_PIII_zD0.6.dat:# MSE  -0.6 4.10146579028e-07
#cyl_PIII_zD0.7.dat:# MSE  -0.7 4.07123154637e-07
cyl_PIII_zD0.8.dat:# MSE  -0.8 2.75237178405e-07
cyl_PIII_zD0.9.dat:# MSE  -0.9 2.31512981475e-07
cyl_PIII_zD1.dat:# MSE  -1.0 1.9706443663e-07
cyl_PIII_zD1.1.dat:# MSE  -1.1 1.69912162943e-07
cyl_PIII_zD1.2.dat:# MSE  -1.2 1.47865004536e-07
cyl_PIII_zD1.3.dat:# MSE  -1.3 1.29832126958e-07
#cyl_PIII_zD1.4.dat:# MSE  -1.4 1.60126549692e-07
cyl_PIII_zD1.5.dat:# MSE  -1.5 1.02318737304e-07
cyl_PIII_zD1.6.dat:# MSE  -1.6 9.17040050049e-08
cyl_PIII_zD1.7.dat:# MSE  -1.7 8.26165751737e-08
cyl_PIII_zD1.8.dat:# MSE  -1.8 7.48341263611e-08
#cyl_PIII_zD1.9.dat:# MSE  -1.9 1.02659356444e-07
cyl_PIII_zD2.dat:# MSE  -2.0 6.22201503015e-08
cyl_PIII_zD2.1.dat:# MSE  -2.1 5.70743179733e-08
cyl_PIII_zD2.2.dat:# MSE  -2.2 5.25462180165e-08
cyl_PIII_zD2.3.dat:# MSE  -2.3 4.85199400702e-08
cyl_PIII_zD2.4.dat:# MSE  -2.4 4.49610642009e-08
cyl_PIII_zD2.5.dat:# MSE  -2.5 4.17612120363e-08
cyl_PIII_zD2.6.dat:# MSE  -2.6 3.89204670899e-08
cyl_PIII_zD2.7.dat:# MSE  -2.7 3.63539281658e-08
#cyl_PIII_zD2.8.dat:# MSE  -2.8 5.75181213909e-08
cyl_PIII_zD2.9.dat:# MSE  -2.9 3.19232603624e-08
cyl_PIII_zD3.dat:# MSE  -3.0 3.0020353209e-08
cyl_PIII_zD3.1.dat:# MSE  -3.1 2.82783213234e-08
cyl_PIII_zD3.2.dat:# MSE  -3.2 2.66947126489e-08
#cyl_PIII_zD3.3.dat:# MSE  -3.3 4.48909477914e-08
cyl_PIII_zD3.4.dat:# MSE  -3.4 2.39018114686e-08
cyl_PIII_zD3.5.dat:# MSE  -3.5 2.26795591439e-08
cyl_PIII_zD3.6.dat:# MSE  -3.6 2.15383754701e-08
cyl_PIII_zD3.7.dat:# MSE  -3.7 2.04991576061e-08
#cyl_PIII_zD3.8.dat:# MSE  -3.8 3.62852781928e-08
cyl_PIII_zD3.9.dat:# MSE  -3.9 1.86428807743e-08
cyl_PIII_zD4.dat:# MSE  -4.0 1.78072929068e-08
cyl_PIII_zD4.1.dat:# MSE  -4.1 1.70343045711e-08
cyl_PIII_zD4.2.dat:# MSE  -4.2 1.63127184293e-08
cyl_PIII_zD4.3.dat:# MSE  -4.3 1.5641511162e-08
cyl_PIII_zD4.4.dat:# MSE  -4.4 1.50118534153e-08
cyl_PIII_zD4.5.dat:# MSE  -4.5 1.44226851706e-08
cyl_PIII_zD4.6.dat:# MSE  -4.6 1.38682154603e-08
cyl_PIII_zD4.7.dat:# MSE  -4.7 1.33495929832e-08
cyl_PIII_zD4.8.dat:# MSE  -4.8 1.2864355686e-08
cyl_PIII_zD4.9.dat:# MSE  -4.9 1.24070547598e-08
cyl_PIII_zD5.dat:# MSE  -5.0 1.1978897512e-08
