# (t) 	 (c tau) 	 (p0) 	 (pzD) 	 (p0FF)
0 	 -2.7 	 0 	 0 	 0
6.66667e-09 	 -2.699 	 0 	 0 	 0
1.33333e-08 	 -2.698 	 0 	 0 	 0
2e-08 	 -2.697 	 0 	 0 	 0
2.66667e-08 	 -2.696 	 0 	 0 	 0
3.33333e-08 	 -2.695 	 0 	 0 	 0
4e-08 	 -2.694 	 0 	 0 	 0
4.66667e-08 	 -2.693 	 0 	 0 	 0
5.33333e-08 	 -2.692 	 0 	 0 	 0
6e-08 	 -2.691 	 0 	 0 	 0
6.66667e-08 	 -2.69 	 0 	 0 	 0
7.33333e-08 	 -2.689 	 0 	 0 	 0
8e-08 	 -2.688 	 0 	 0 	 0
8.66667e-08 	 -2.687 	 0 	 0 	 0
9.33333e-08 	 -2.686 	 0 	 0 	 0
1e-07 	 -2.685 	 0 	 0 	 0
1.06667e-07 	 -2.684 	 0 	 0 	 0
1.13333e-07 	 -2.683 	 0 	 0 	 0
1.2e-07 	 -2.682 	 0 	 0 	 0
1.26667e-07 	 -2.681 	 0 	 0 	 0
1.33333e-07 	 -2.68 	 0 	 0 	 0
1.4e-07 	 -2.679 	 0 	 0 	 0
1.46667e-07 	 -2.678 	 0 	 0 	 0
1.53333e-07 	 -2.677 	 0 	 0 	 0
1.6e-07 	 -2.676 	 0 	 0 	 0
1.66667e-07 	 -2.675 	 0 	 0 	 0
1.73333e-07 	 -2.674 	 0 	 0 	 0
1.8e-07 	 -2.673 	 0 	 0 	 0
1.86667e-07 	 -2.672 	 0 	 0 	 0
1.93333e-07 	 -2.671 	 0 	 0 	 0
2e-07 	 -2.67 	 0 	 0 	 0
2.06667e-07 	 -2.669 	 0 	 0 	 0
2.13333e-07 	 -2.668 	 0 	 0 	 0
2.2e-07 	 -2.667 	 0 	 0 	 0
2.26667e-07 	 -2.666 	 0 	 0 	 0
2.33333e-07 	 -2.665 	 0 	 0 	 0
2.4e-07 	 -2.664 	 0 	 0 	 0
2.46667e-07 	 -2.663 	 0 	 0 	 0
2.53333e-07 	 -2.662 	 0 	 0 	 0
2.6e-07 	 -2.661 	 0 	 0 	 0
2.66667e-07 	 -2.66 	 0 	 0 	 0
2.73333e-07 	 -2.659 	 0 	 0 	 0
2.8e-07 	 -2.658 	 0 	 0 	 0
2.86667e-07 	 -2.657 	 0 	 0 	 0
2.93333e-07 	 -2.656 	 0 	 0 	 0
3e-07 	 -2.655 	 0 	 0 	 0
3.06667e-07 	 -2.654 	 0 	 0 	 0
3.13333e-07 	 -2.653 	 0 	 0 	 0
3.2e-07 	 -2.652 	 0 	 0 	 0
3.26667e-07 	 -2.651 	 0 	 0 	 0
3.33333e-07 	 -2.65 	 0 	 0 	 0
3.4e-07 	 -2.649 	 0 	 0 	 0
3.46667e-07 	 -2.648 	 0 	 0 	 0
3.53333e-07 	 -2.647 	 0 	 0 	 0
3.6e-07 	 -2.646 	 0 	 0 	 0
3.66667e-07 	 -2.645 	 0 	 0 	 0
3.73333e-07 	 -2.644 	 0 	 0 	 0
3.8e-07 	 -2.643 	 0 	 0 	 0
3.86667e-07 	 -2.642 	 0 	 0 	 0
3.93333e-07 	 -2.641 	 0 	 0 	 0
4e-07 	 -2.64 	 0 	 0 	 0
4.06667e-07 	 -2.639 	 0 	 0 	 0
4.13333e-07 	 -2.638 	 0 	 0 	 0
4.2e-07 	 -2.637 	 0 	 0 	 0
4.26667e-07 	 -2.636 	 0 	 0 	 0
4.33333e-07 	 -2.635 	 0 	 0 	 0
4.4e-07 	 -2.634 	 0 	 0 	 0
4.46667e-07 	 -2.633 	 0 	 0 	 0
4.53333e-07 	 -2.632 	 0 	 0 	 0
4.6e-07 	 -2.631 	 0 	 0 	 0
4.66667e-07 	 -2.63 	 0 	 0 	 0
4.73333e-07 	 -2.629 	 0 	 0 	 0
4.8e-07 	 -2.628 	 0 	 0 	 0
4.86667e-07 	 -2.627 	 0 	 0 	 0
4.93333e-07 	 -2.626 	 0 	 0 	 0
5e-07 	 -2.625 	 0 	 0 	 0
5.06667e-07 	 -2.624 	 0 	 0 	 0
5.13333e-07 	 -2.623 	 0 	 0 	 0
5.2e-07 	 -2.622 	 0 	 0 	 0
5.26667e-07 	 -2.621 	 0 	 0 	 0
5.33333e-07 	 -2.62 	 0 	 0 	 0
5.4e-07 	 -2.619 	 0 	 0 	 0
