# (t) 	 (c tau) 	 (p0) 	 (pzD) 	 (p0FF)
0 	 -5 	 0 	 0 	 0
6.66667e-09 	 -4.999 	 0 	 0 	 0
1.33333e-08 	 -4.998 	 0 	 0 	 0
2e-08 	 -4.997 	 0 	 0 	 0
2.66667e-08 	 -4.996 	 0 	 0 	 0
3.33333e-08 	 -4.995 	 0 	 0 	 0
4e-08 	 -4.994 	 0 	 0 	 0
4.66667e-08 	 -4.993 	 0 	 0 	 0
5.33333e-08 	 -4.992 	 0 	 0 	 0
6e-08 	 -4.991 	 0 	 0 	 0
6.66667e-08 	 -4.99 	 0 	 0 	 0
7.33333e-08 	 -4.989 	 0 	 0 	 0
8e-08 	 -4.988 	 0 	 0 	 0
8.66667e-08 	 -4.987 	 0 	 0 	 0
9.33333e-08 	 -4.986 	 0 	 0 	 0
1e-07 	 -4.985 	 0 	 0 	 0
1.06667e-07 	 -4.984 	 0 	 0 	 0
1.13333e-07 	 -4.983 	 0 	 0 	 0
1.2e-07 	 -4.982 	 0 	 0 	 0
1.26667e-07 	 -4.981 	 0 	 0 	 0
1.33333e-07 	 -4.98 	 0 	 0 	 0
1.4e-07 	 -4.979 	 0 	 0 	 0
1.46667e-07 	 -4.978 	 0 	 0 	 0
1.53333e-07 	 -4.977 	 0 	 0 	 0
1.6e-07 	 -4.976 	 0 	 0 	 0
1.66667e-07 	 -4.975 	 0 	 0 	 0
1.73333e-07 	 -4.974 	 0 	 0 	 0
1.8e-07 	 -4.973 	 0 	 0 	 0
1.86667e-07 	 -4.972 	 0 	 0 	 0
1.93333e-07 	 -4.971 	 0 	 0 	 0
2e-07 	 -4.97 	 0 	 0 	 0
2.06667e-07 	 -4.969 	 0 	 0 	 0
2.13333e-07 	 -4.968 	 0 	 0 	 0
2.2e-07 	 -4.967 	 0 	 0 	 0
2.26667e-07 	 -4.966 	 0 	 0 	 0
2.33333e-07 	 -4.965 	 0 	 0 	 0
2.4e-07 	 -4.964 	 0 	 0 	 0
2.46667e-07 	 -4.963 	 0 	 0 	 0
2.53333e-07 	 -4.962 	 0 	 0 	 0
2.6e-07 	 -4.961 	 0 	 0 	 0
2.66667e-07 	 -4.96 	 0 	 0 	 0
2.73333e-07 	 -4.959 	 0 	 0 	 0
2.8e-07 	 -4.958 	 0 	 0 	 0
2.86667e-07 	 -4.957 	 0 	 0 	 0
2.93333e-07 	 -4.956 	 0 	 0 	 0
3e-07 	 -4.955 	 0 	 0 	 0
3.06667e-07 	 -4.954 	 0 	 0 	 0
3.13333e-07 	 -4.953 	 0 	 0 	 0
3.2e-07 	 -4.952 	 0 	 0 	 0
3.26667e-07 	 -4.951 	 0 	 0 	 0
3.33333e-07 	 -4.95 	 0 	 0 	 0
3.4e-07 	 -4.949 	 0 	 0 	 0
3.46667e-07 	 -4.948 	 0 	 0 	 0
3.53333e-07 	 -4.947 	 0 	 0 	 0
3.6e-07 	 -4.946 	 0 	 0 	 0
3.66667e-07 	 -4.945 	 0 	 0 	 0
3.73333e-07 	 -4.944 	 0 	 0 	 0
3.8e-07 	 -4.943 	 0 	 0 	 0
3.86667e-07 	 -4.942 	 0 	 0 	 0
3.93333e-07 	 -4.941 	 0 	 0 	 0
4e-07 	 -4.94 	 0 	 0 	 0
4.06667e-07 	 -4.939 	 0 	 0 	 0
4.13333e-07 	 -4.938 	 0 	 0 	 0
4.2e-07 	 -4.937 	 0 	 0 	 0
4.26667e-07 	 -4.936 	 0 	 0 	 0
4.33333e-07 	 -4.935 	 0 	 0 	 0
4.4e-07 	 -4.934 	 0 	 0 	 0
4.46667e-07 	 -4.933 	 0 	 0 	 0
4.53333e-07 	 -4.932 	 0 	 0 	 0
4.6e-07 	 -4.931 	 0 	 0 	 0
4.66667e-07 	 -4.93 	 0 	 0 	 0
4.73333e-07 	 -4.929 	 0 	 0 	 0
4.8e-07 	 -4.928 	 0 	 0 	 0
4.86667e-07 	 -4.927 	 0 	 0 	 0
4.93333e-07 	 -4.926 	 0 	 0 	 0
5e-07 	 -4.925 	 0 	 0 	 0
5.06667e-07 	 -4.924 	 0 	 0 	 0
5.13333e-07 	 -4.923 	 0 	 0 	 0
5.2e-07 	 -4.922 	 0 	 0 	 0
5.26667e-07 	 -4.921 	 0 	 0 	 0
5.33333e-07 	 -4.92 	 0 	 0 	 0
5.4e-07 	 -4.919 	 0 	 0 	 0
5.46667e-07 	 -4.918 	 0 	 0 	 0
5.53333e-07 	 -4.917 	 0 	 0 	 0
5.6e-07 	 -4.916 	 0 	 0 	 0
5.66667e-07 	 -4.915 	 0 	 0 	 0
5.73333e-07 	 -4.914 	 0 	 0 	 0
5.8e-07 	 -4.913 	 0 	 0 	 0
5.86667e-07 	 -4.912 	 0 	 0 	 0
5.93333e-07 	 -4.911 	 0 	 0 	 0
6e-07 	 -4.91 	 0 	 0 	 0
6.06667e-07 	 -4.909 	 0 	 0 	 0
6.13333e-07 	 -4.908 	 0 	 0 	 0
6.2e-07 	 -4.907 	 0 	 0 	 0
6.26667e-07 	 -4.906 	 0 	 0 	 0
6.33333e-07 	 -4.905 	 0 	 0 	 0
6.4e-07 	 -4.904 	 0 	 0 	 0
6.46667e-07 	 -4.903 	 0 	 0 	 0
6.53333e-07 	 -4.902 	 0 	 0 	 0
6.6e-07 	 -4.901 	 0 	 0 	 0
6.66667e-07 	 -4.9 	 0 	 0 	 0
6.73333e-07 	 -4.899 	 0 	 0 	 0
6.8e-07 	 -4.898 	 0 	 0 	 0
6.86667e-07 	 -4.897 	 0 	 0 	 0
6.93333e-07 	 -4.896 	 0 	 0 	 0
7e-07 	 -4.895 	 0 	 0 	 0
7.06667e-07 	 -4.894 	 0 	 0 	 0
7.13333e-07 	 -4.893 	 0 	 0 	 0
7.2e-07 	 -4.892 	 0 	 0 	 0
7.26667e-07 	 -4.891 	 0 	 0 	 0
7.33333e-07 	 -4.89 	 0 	 0 	 0
7.4e-07 	 -4.889 	 0 	 0 	 0
7.46667e-07 	 -4.888 	 0 	 0 	 0
7.53333e-07 	 -4.887 	 0 	 0 	 0
7.6e-07 	 -4.886 	 0 	 0 	 0
7.66667e-07 	 -4.885 	 0 	 0 	 0
7.73333e-07 	 -4.884 	 0 	 0 	 0
7.8e-07 	 -4.883 	 0 	 0 	 0
7.86667e-07 	 -4.882 	 0 	 0 	 0
7.93333e-07 	 -4.881 	 0 	 0 	 0
8e-07 	 -4.88 	 0 	 0 	 0
8.06667e-07 	 -4.879 	 0 	 0 	 0
8.13333e-07 	 -4.878 	 0 	 0 	 0
8.2e-07 	 -4.877 	 0 	 0 	 0
8.26667e-07 	 -4.876 	 0 	 0 	 0
8.33333e-07 	 -4.875 	 0 	 0 	 0
8.4e-07 	 -4.874 	 0 	 0 	 0
8.46667e-07 	 -4.873 	 0 	 0 	 0
8.53333e-07 	 -4.872 	 0 	 0 	 0
8.6e-07 	 -4.871 	 0 	 0 	 0
8.66667e-07 	 -4.87 	 0 	 0 	 0
8.73333e-07 	 -4.869 	 0 	 0 	 0
8.8e-07 	 -4.868 	 0 	 0 	 0
8.86667e-07 	 -4.867 	 0 	 0 	 0
8.93333e-07 	 -4.866 	 0 	 0 	 0
9e-07 	 -4.865 	 0 	 0 	 0
9.06667e-07 	 -4.864 	 0 	 0 	 0
9.13333e-07 	 -4.863 	 0 	 0 	 0
9.2e-07 	 -4.862 	 0 	 0 	 0
9.26667e-07 	 -4.861 	 0 	 0 	 0
9.33333e-07 	 -4.86 	 0 	 0 	 0
9.4e-07 	 -4.859 	 0 	 0 	 0
9.46667e-07 	 -4.858 	 0 	 0 	 0
