# (t) 	 (c tau) 	 (p(zD,t))
0 	 -0.5 	 0
6.66667e-09 	 -0.499 	 0
1.33333e-08 	 -0.498 	 0
2e-08 	 -0.497 	 0
2.66667e-08 	 -0.496 	 0
3.33333e-08 	 -0.495 	 0
4e-08 	 -0.494 	 0
4.66667e-08 	 -0.493 	 0
5.33333e-08 	 -0.492 	 0
6e-08 	 -0.491 	 0
6.66667e-08 	 -0.49 	 0
7.33333e-08 	 -0.489 	 0
8e-08 	 -0.488 	 0
8.66667e-08 	 -0.487 	 0
9.33333e-08 	 -0.486 	 0
1e-07 	 -0.485 	 0
1.06667e-07 	 -0.484 	 0
1.13333e-07 	 -0.483 	 0
1.2e-07 	 -0.482 	 0
1.26667e-07 	 -0.481 	 0
1.33333e-07 	 -0.48 	 0
1.4e-07 	 -0.479 	 0
1.46667e-07 	 -0.478 	 0
1.53333e-07 	 -0.477 	 0
1.6e-07 	 -0.476 	 0
1.66667e-07 	 -0.475 	 0
1.73333e-07 	 -0.474 	 0
1.8e-07 	 -0.473 	 0
1.86667e-07 	 -0.472 	 0
1.93333e-07 	 -0.471 	 0
2e-07 	 -0.47 	 0
2.06667e-07 	 -0.469 	 0
2.13333e-07 	 -0.468 	 0
2.2e-07 	 -0.467 	 0
2.26667e-07 	 -0.466 	 0
2.33333e-07 	 -0.465 	 0
2.4e-07 	 -0.464 	 0
2.46667e-07 	 -0.463 	 0
2.53333e-07 	 -0.462 	 0
2.6e-07 	 -0.461 	 0
2.66667e-07 	 -0.46 	 0
2.73333e-07 	 -0.459 	 0
2.8e-07 	 -0.458 	 0
2.86667e-07 	 -0.457 	 0
2.93333e-07 	 -0.456 	 0
3e-07 	 -0.455 	 0
3.06667e-07 	 -0.454 	 0
3.13333e-07 	 -0.453 	 0
3.2e-07 	 -0.452 	 0
3.26667e-07 	 -0.451 	 0
3.33333e-07 	 -0.45 	 0
3.4e-07 	 -0.449 	 0
3.46667e-07 	 -0.448 	 0
3.53333e-07 	 -0.447 	 0
3.6e-07 	 -0.446 	 0
3.66667e-07 	 -0.445 	 0
3.73333e-07 	 -0.444 	 0
3.8e-07 	 -0.443 	 0
3.86667e-07 	 -0.442 	 0
3.93333e-07 	 -0.441 	 0
4e-07 	 -0.44 	 0
4.06667e-07 	 -0.439 	 0
4.13333e-07 	 -0.438 	 0
4.2e-07 	 -0.437 	 0
4.26667e-07 	 -0.436 	 0
4.33333e-07 	 -0.435 	 0
4.4e-07 	 -0.434 	 0
4.46667e-07 	 -0.433 	 0
4.53333e-07 	 -0.432 	 0
4.6e-07 	 -0.431 	 0
4.66667e-07 	 -0.43 	 0
4.73333e-07 	 -0.429 	 0
4.8e-07 	 -0.428 	 0
4.86667e-07 	 -0.427 	 0
4.93333e-07 	 -0.426 	 0
5e-07 	 -0.425 	 0
5.06667e-07 	 -0.424 	 0
5.13333e-07 	 -0.423 	 0
5.2e-07 	 -0.422 	 0
5.26667e-07 	 -0.421 	 0
5.33333e-07 	 -0.42 	 0
5.4e-07 	 -0.419 	 0
5.46667e-07 	 -0.418 	 0
5.53333e-07 	 -0.417 	 0
5.6e-07 	 -0.416 	 0
5.66667e-07 	 -0.415 	 0
5.73333e-07 	 -0.414 	 0
5.8e-07 	 -0.413 	 0
5.86667e-07 	 -0.412 	 0
5.93333e-07 	 -0.411 	 0
6e-07 	 -0.41 	 0
6.06667e-07 	 -0.409 	 0
6.13333e-07 	 -0.408 	 0
6.2e-07 	 -0.407 	 0
6.26667e-07 	 -0.406 	 0
6.33333e-07 	 -0.405 	 0
6.4e-07 	 -0.404 	 0
6.46667e-07 	 -0.403 	 0
6.53333e-07 	 -0.402 	 0
6.6e-07 	 -0.401 	 0
6.66667e-07 	 -0.4 	 0
6.73333e-07 	 -0.399 	 0
6.8e-07 	 -0.398 	 0
6.86667e-07 	 -0.397 	 0
6.93333e-07 	 -0.396 	 0
7e-07 	 -0.395 	 0
7.06667e-07 	 -0.394 	 0
7.13333e-07 	 -0.393 	 0
7.2e-07 	 -0.392 	 0
7.26667e-07 	 -0.391 	 0
7.33333e-07 	 -0.39 	 0
7.4e-07 	 -0.389 	 0
7.46667e-07 	 -0.388 	 0
7.53333e-07 	 -0.387 	 0
7.6e-07 	 -0.386 	 0
7.66667e-07 	 -0.385 	 0
7.73333e-07 	 -0.384 	 0
7.8e-07 	 -0.383 	 0
7.86667e-07 	 -0.382 	 0
7.93333e-07 	 -0.381 	 0
8e-07 	 -0.38 	 0
8.06667e-07 	 -0.379 	 0
8.13333e-07 	 -0.378 	 0
8.2e-07 	 -0.377 	 0
8.26667e-07 	 -0.376 	 0
8.33333e-07 	 -0.375 	 0
8.4e-07 	 -0.374 	 0
8.46667e-07 	 -0.373 	 0
8.53333e-07 	 -0.372 	 0
8.6e-07 	 -0.371 	 0
8.66667e-07 	 -0.37 	 0
8.73333e-07 	 -0.369 	 0
8.8e-07 	 -0.368 	 0
8.86667e-07 	 -0.367 	 0
8.93333e-07 	 -0.366 	 0
9e-07 	 -0.365 	 0
9.06667e-07 	 -0.364 	 0
9.13333e-07 	 -0.363 	 0
9.2e-07 	 -0.362 	 0
9.26667e-07 	 -0.361 	 0
9.33333e-07 	 -0.36 	 0
9.4e-07 	 -0.359 	 0
9.46667e-07 	 -0.358 	 0
9.53333e-07 	 -0.357 	 0
9.6e-07 	 -0.356 	 0
9.66667e-07 	 -0.355 	 0
9.73333e-07 	 -0.354 	 0
9.8e-07 	 -0.353 	 0
9.86667e-07 	 -0.352 	 0
9.93333e-07 	 -0.351 	 0
1e-06 	 -0.35 	 0
1.00667e-06 	 -0.349 	 0
1.01333e-06 	 -0.348 	 0
1.02e-06 	 -0.347 	 0
1.02667e-06 	 -0.346 	 0
1.03333e-06 	 -0.345 	 0
1.04e-06 	 -0.344 	 0
1.04667e-06 	 -0.343 	 0
1.05333e-06 	 -0.342 	 0
1.06e-06 	 -0.341 	 0
1.06667e-06 	 -0.34 	 0
1.07333e-06 	 -0.339 	 0
1.08e-06 	 -0.338 	 0
1.08667e-06 	 -0.337 	 0
1.09333e-06 	 -0.336 	 0
1.1e-06 	 -0.335 	 0
1.10667e-06 	 -0.334 	 0
1.11333e-06 	 -0.333 	 0
1.12e-06 	 -0.332 	 0
1.12667e-06 	 -0.331 	 0
1.13333e-06 	 -0.33 	 0
1.14e-06 	 -0.329 	 0
1.14667e-06 	 -0.328 	 0
1.15333e-06 	 -0.327 	 0
1.16e-06 	 -0.326 	 0
1.16667e-06 	 -0.325 	 0
1.17333e-06 	 -0.324 	 0
1.18e-06 	 -0.323 	 0
1.18667e-06 	 -0.322 	 0
1.19333e-06 	 -0.321 	 0
1.2e-06 	 -0.32 	 0
1.20667e-06 	 -0.319 	 0
1.21333e-06 	 -0.318 	 0
1.22e-06 	 -0.317 	 0
1.22667e-06 	 -0.316 	 0
1.23333e-06 	 -0.315 	 0
1.24e-06 	 -0.314 	 0
1.24667e-06 	 -0.313 	 0
1.25333e-06 	 -0.312 	 0
1.26e-06 	 -0.311 	 0
1.26667e-06 	 -0.31 	 0
1.27333e-06 	 -0.309 	 0
1.28e-06 	 -0.308 	 0
1.28667e-06 	 -0.307 	 0
1.29333e-06 	 -0.306 	 0
1.3e-06 	 -0.305 	 0
1.30667e-06 	 -0.304 	 0
1.31333e-06 	 -0.303 	 0
1.32e-06 	 -0.302 	 0
1.32667e-06 	 -0.301 	 0
1.33333e-06 	 -0.3 	 0
1.34e-06 	 -0.299 	 0
1.34667e-06 	 -0.298 	 0
1.35333e-06 	 -0.297 	 0
1.36e-06 	 -0.296 	 0
1.36667e-06 	 -0.295 	 0
1.37333e-06 	 -0.294 	 0
1.38e-06 	 -0.293 	 0
1.38667e-06 	 -0.292 	 0
1.39333e-06 	 -0.291 	 0
1.4e-06 	 -0.29 	 0
1.40667e-06 	 -0.289 	 0
1.41333e-06 	 -0.288 	 0
1.42e-06 	 -0.287 	 0
1.42667e-06 	 -0.286 	 0
1.43333e-06 	 -0.285 	 0
1.44e-06 	 -0.284 	 0
1.44667e-06 	 -0.283 	 0
1.45333e-06 	 -0.282 	 0
1.46e-06 	 -0.281 	 0
1.46667e-06 	 -0.28 	 0
1.47333e-06 	 -0.279 	 0
1.48e-06 	 -0.278 	 0
1.48667e-06 	 -0.277 	 0
1.49333e-06 	 -0.276 	 0
1.5e-06 	 -0.275 	 0
1.50667e-06 	 -0.274 	 0
1.51333e-06 	 -0.273 	 0
1.52e-06 	 -0.272 	 0
1.52667e-06 	 -0.271 	 0
1.53333e-06 	 -0.27 	 0
1.54e-06 	 -0.269 	 0
1.54667e-06 	 -0.268 	 0
1.55333e-06 	 -0.267 	 0
1.56e-06 	 -0.266 	 0
1.56667e-06 	 -0.265 	 0
1.57333e-06 	 -0.264 	 0
1.58e-06 	 -0.263 	 0
1.58667e-06 	 -0.262 	 0
1.59333e-06 	 -0.261 	 0
1.6e-06 	 -0.26 	 0
1.60667e-06 	 -0.259 	 0
1.61333e-06 	 -0.258 	 0
1.62e-06 	 -0.257 	 0
1.62667e-06 	 -0.256 	 0
1.63333e-06 	 -0.255 	 0
1.64e-06 	 -0.254 	 0
1.64667e-06 	 -0.253 	 0
1.65333e-06 	 -0.252 	 0
1.66e-06 	 -0.251 	 0
1.66667e-06 	 -0.25 	 0
1.67333e-06 	 -0.249 	 0
1.68e-06 	 -0.248 	 0
1.68667e-06 	 -0.247 	 0
1.69333e-06 	 -0.246 	 0
1.7e-06 	 -0.245 	 0
1.70667e-06 	 -0.244 	 0
1.71333e-06 	 -0.243 	 0
1.72e-06 	 -0.242 	 0
1.72667e-06 	 -0.241 	 0
1.73333e-06 	 -0.24 	 0
1.74e-06 	 -0.239 	 0
1.74667e-06 	 -0.238 	 0
1.75333e-06 	 -0.237 	 0
1.76e-06 	 -0.236 	 0
1.76667e-06 	 -0.235 	 0
1.77333e-06 	 -0.234 	 0
1.78e-06 	 -0.233 	 0
1.78667e-06 	 -0.232 	 0
1.79333e-06 	 -0.231 	 0
1.8e-06 	 -0.23 	 0
1.80667e-06 	 -0.229 	 0
1.81333e-06 	 -0.228 	 0
1.82e-06 	 -0.227 	 0
1.82667e-06 	 -0.226 	 0
1.83333e-06 	 -0.225 	 0
1.84e-06 	 -0.224 	 0
1.84667e-06 	 -0.223 	 0
1.85333e-06 	 -0.222 	 0
1.86e-06 	 -0.221 	 0
1.86667e-06 	 -0.22 	 0
1.87333e-06 	 -0.219 	 0
1.88e-06 	 -0.218 	 0
1.88667e-06 	 -0.217 	 0
1.89333e-06 	 -0.216 	 0
1.9e-06 	 -0.215 	 0
1.90667e-06 	 -0.214 	 0
1.91333e-06 	 -0.213 	 0
1.92e-06 	 -0.212 	 0
1.92667e-06 	 -0.211 	 0
1.93333e-06 	 -0.21 	 0
1.94e-06 	 -0.209 	 0
1.94667e-06 	 -0.208 	 0
1.95333e-06 	 -0.207 	 0
1.96e-06 	 -0.206 	 0
1.96667e-06 	 -0.205 	 0
1.97333e-06 	 -0.204 	 0
1.98e-06 	 -0.203 	 0
1.98667e-06 	 -0.202 	 0
1.99333e-06 	 -0.201 	 0
2e-06 	 -0.2 	 0
2.00667e-06 	 -0.199 	 0
2.01333e-06 	 -0.198 	 0
2.02e-06 	 -0.197 	 0
2.02667e-06 	 -0.196 	 0
2.03333e-06 	 -0.195 	 0
2.04e-06 	 -0.194 	 0
2.04667e-06 	 -0.193 	 0
2.05333e-06 	 -0.192 	 0
2.06e-06 	 -0.191 	 0
2.06667e-06 	 -0.19 	 0
